Id	Number	Name	ItemsToSpawn	ItemQuantities	ItemsToCollect	Rewards	RewardQuantities
level_01	1	Level 01	"violin,
volleyball"	"6,
6"	"volleyball,
violin"	"Gold,
Undo"	"75,
6"
level_02	2	Level 02	"rocket,
chinese_kale"	"9,
3"	"chinese_kale,
rocket"	"Gold,
Hint"	"90,
3"
level_03	3	Level 03	"canon,
megaphone"	"9,
3"	"megaphone,
canon"	"Gold,
Shake"	"103,
3"
level_04	4	Level 04	"dice,
robot,
bag"	"6,
6,
3"	"robot,
dice,
bag"	"Gold,
Magnet"	"115,
3"
level_05	5	CHALLENGE 05	"dice,
ball_02,
globe"	"6,
6,
6"	"ball_02,
dice,
globe"	"Gold,
Undo"	"190,
2"
level_06	6	Level 06	"bee,
radio,
cabbage,
watermelon"	"9,
6,
3,
3"	"radio,
watermelon,
cabbage,
bee"	"Gold"	"137"
level_07	7	Level 07	"broom,
chair_04,
canon,
ant,
trumpet"	"9,
6,
3,
3,
3"	"broom,
trumpet,
chair_04,
canon"	"Gold"	"147"
level_08	8	Level 08	"piano,
melon,
wooden_log,
ball_04,
treasure_chest,
scooter"	"9,
9,
3,
3,
3,
3"	"piano,
melon,
wooden_log,
scooter"	"Gold"	"157"
level_09	9	Level 09	"violin,
canon,
lamp,
sushi_03,
egg,
treasure_chest,
chair_04"	"6,
6,
9,
3,
6,
3,
3"	"sushi_03,
egg,
lamp,
chair_04,
treasure_chest"	"Gold"	"166"
level_10	10	CHALLENGE 10	"spoon_01,
chili,
raspberry,
candy,
cherry,
sushi_02,
dice,
violin,
chair_03"	"3,
6,
3,
6,
6,
6,
3,
3,
6"	"cherry,
chili,
sushi_02,
raspberry,
candy,
spoon_01"	"Gold,
Shake"	"262,
1"
level_11	11	Level 11	"lemon,
cherry,
cheese,
radish,
mushroom,
chili,
screwdriver,
candy,
building_block_01,
leek"	"6,
6,
3,
3,
3,
6,
6,
6,
3,
6"	"mushroom,
cheese,
chili,
cherry,
leek,
radish"	"Gold"	"183"
level_12	12	Level 12	"mushroom,
ring_02,
spoon_01,
litchi,
egg,
candy_bar,
carrot,
lime,
sushi_03,
pencil"	"3,
3,
3,
6,
3,
6,
6,
3,
6,
9"	"sushi_03,
candy_bar,
egg,
carrot,
mushroom,
lime"	"Gold"	"192"
level_13	13	Level 13	"egg,
radish,
strawberry,
candy_bar,
sushi_02,
carrot,
cheese,
kiwi,
acorn,
sushi_01"	"6,
3,
9,
3,
3,
3,
3,
9,
3,
6"	"cheese,
sushi_02,
carrot,
egg,
radish,
sushi_01"	"Gold"	"200"
level_14	14	Level 14	"building_block_02,
cheese,
ink,
lemon,
kiwi,
candy_bar,
litchi,
egg,
chili,
cherry"	"3,
6,
3,
6,
3,
6,
6,
6,
6,
3"	"candy_bar,
litchi,
chili,
cherry,
lemon,
egg"	"Gold"	"208"
